Code;Title
1A72.1;Infección gonocócica del recto
1A72.2;Infección gonocócica de ano
1A72.3;Faringitis gonocócica
1A72.4;Infección gonocócica del ojo
1A72.Y;Otra infección gonocócica en otras localizaciones especificadas
1A73;Infección gonocócica diseminada
1A7Z;"Infección gonocócica, sin especificación"
1A80;Linfogranuloma por Chlamydia
1A81;Infección de transmisión sexual no ulcerativa por Chlamydia
1A81.0;Infección del aparato genitourinario inferior por Chlamydia
1A81.1;Infección de los órganos reproductores internos por Chlamydia
1A81.Y;Otra infección clamidial no ulcerativa de transmisión sexual especificada
1A81.Z;"Infección clamidial no ulcerativa de transmisión sexual, sin especificación"
1A8Y;Otras infecciones especificadas de transmisión sexual por Chlamydia
1A8Z;"Infecciones de transmisión sexual por Chlamydia, sin especificación"
1A90;Chancroide
1A91;Granuloma inguinal
1A92;Trichomoniasis
1A93;Infestaciones transmitidas sexualmente
1A94;Infección anogenital por herpes simple
1A94.0;Infección genital o urogenital por herpes simple
1A94.1;Infección perianal y rectal por herpes simple
1A94.Z;"Infección anogenital por herpes simple, sin especificación"
1A95;Verrugas anogenitales
1A95.0;Verrugas anales
1A95.1;Verrugas genitales
1A95.2;Condilomas acuminados extragenitales
1A9Y;Otras infecciones especificadas de transmisión predominantemente sexual
1A9Z;"Infecciones de transmisión predominantemente sexual, sin especificación"
1B10;Tuberculosis del aparato respiratorio
1B10.0;"Tuberculosis respiratoria, confirmada"
1B10.1;"Tuberculosis respiratoria, no confirmada"
1B10.Z;"Tuberculosis respiratoria, sin mención de confirmación bacteriológica o histológica"
1B11;Tuberculosis del sistema nervioso
1B11.0;Meningitis tuberculosa
1B11.1;Meningoencefalitis tuberculosa
1B11.2;Tuberculoma meníngeo
1B11.3;Granuloma tuberculoso del cerebro
1B11.4;Granuloma tuberculoso de las meninges
1B11.Y;Otra tuberculosis especificada del sistema nervioso
1B11.Z;"Tuberculosis del sistema nervioso, sin especificación"
1B12;Tuberculosis de otros sistemas y órganos
1B12.0;Tuberculosis cardíaca
1B12.1;Tuberculosis del ojo
1B12.2;Tuberculosis del oído
1B12.3;Tuberculosis de las glándulas endocrinas
1B12.4;Tuberculosis del sistema musculoesquelético
1B12.40;Tuberculosis de los huesos o las articulaciones
1B12.41;Miositis tuberculosa
1B12.4Y;Otra tuberculosis especificada del sistema musculoesquelético
1B12.4Z;"Tuberculosis del sistema musculoesquelético, sin especificación"
1B12.5;Tuberculosis del aparato genitourinario
1B12.6;Linfadenopatía periférica tuberculosa
1B12.7;Tuberculosis del aparato digestivo
1B12.8;Tuberculosis cutánea
1B12.Y;Otra tuberculosis de otros sistemas u órganos especificados
1B13;Tuberculosis miliar
1B13.0;Tuberculosis miliar aguda de un sitio especificado único
1B13.1;Tuberculosis miliar aguda de sitios múltiples
1B13.Y;Otra tuberculosis miliar especificada
1B13.Z;"Tuberculosis miliar, sin especificación"
1B14;Tuberculosis latente
1B1Y;Otra tuberculosis especificada
1B1Z;"Tuberculosis, sin especificación"
1B20;Lepra
1B20.0;Lepra paucibacilar
1B20.1;Lepra multibacilar
1B20.2;Reacciones de la lepra
1B20.20;Reacción de la lepra de tipo I
1B20.21;Reacción de lepra de tipo II
1B20.3;Complicaciones de la lepra
1B20.Z;"Lepra, sin especificación"
1B21;Infecciones por micobacterias no tuberculosas
1B21.0;Infección pulmonar debida a micobacteria no tuberculosa
1B21.1;Linfadenitis micobacteriana no tuberculosa
1B21.2;Infección cutánea micobacteriana no tuberculosa
1B21.20;Infección por Mycobacterium ulcerans
1B21.2Y;Otra infección cutánea micobacteriana no tuberculosa especificada
1B21.2Z;"Infección cutánea micobacteriana no tuberculosa, sin especificación"
1B21.3;Infección micobacterial no tuberculosa diseminada
1B21.4;Infección gastrointestinal micobacteriana no tuberculosa
1B21.Y;Otras infecciones especificadas por micobacterias no tuberculosas
1B21.Z;"Infecciones por micobacterias no tuberculosas, sin especificación"
1B2Y;Otras enfermedades micobacterianas especificadas
1B2Z;"Enfermedades micobacterianas, sin especificación"
1B40;Fiebre reumática aguda sin mención de complicación cardíaca
1B40.0;"Artritis reumática, aguda o subaguda"
1B40.Y;Otra fiebre reumática especificada sin mención de complicación cardíaca
1B40.Z;"Fiebre reumática sin mención de complicación cardíaca, sin especificación"
1B41;Fiebre reumática aguda con afectación cardíaca
1B41.0;Pericarditis reumática aguda
1B41.1;Endocarditis reumática aguda
1B41.10;Aortitis reumática
1B41.1Y;Otra endocarditis reumática aguda especificada
1B41.1Z;"Endocarditis reumática aguda, sin especificación"
1B41.2;Miocarditis reumática aguda
1B41.Y;Otra fiebre reumática aguda con afectación cardíaca especificada
1B41.Z;"Fiebre reumática aguda con afectación cardíaca, sin especificación"
1B42;Corea reumática
1B50;Escarlatina
1B51;Faringitis estreptocócica
1B52;Síndrome de choque tóxico
1B52.0;Síndrome de choque tóxico estreptocócico
1B52.1;Síndrome de choque tóxico estafilocócico
1B53;Meningitis por Streptococcus
1B54;Meningitis por Staphylococcus
1B5Y;Algunas otras enfermedades estafilocócicas o estreptocócicas especificadas
1B5Z;"Algunas enfermedades estafilocócicas o estreptocócicas, sin especificación"
1B70;"Celulitis bacteriana, erisipela o linfangitis"
1B70.0;Erisipela
1B70.00;Erisipela de la cara
1B70.01;Erisipela del oído externo
1B70.02;Erisipela del miembro inferior
1B70.0Y;Otra erisipela especificada
1B70.1;Celulitis estreptocócica de la piel
1B70.2;Celulitis estafilocócica de la piel
1B70.3;Linfangitis bacteriana ascendente
1B70.Y;"Otra celulitis bacteriana, erisipela o linfangitis especificada"
1B70.Z;"Celulitis bacteriana, erisipela o linfangitis, sin especificación"
1B71;Fascitis necrotizante
1B71.0;Fascitis necrosante estreptocócica
1B71.1;Fascitis necrosante polimicrobiana
1B71.2;Fascitis necrosante neonatal
1B71.Y;Otra fascitis necrotizante especificada
1B71.Z;"Fascitis necrotizante, sin especificación"
1B72;Impétigo
1B72.0;Impétigo vesicular
1B72.1;Impétigo no ampolloso
1B72.2;Impetiginación secundaria de la piel
1B72.Y;Otro impétigo especificado
1B72.Z;"Impétigo, sin especificación"
1B73;Ectima
1B73.0;Ectima estreptocócico
1B73.1;Ectima estafilocócico
1B73.2;Ectima gangrenoso
1B73.Y;Otro ectima especificado
1B73.Z;"Ectima, sin especificación"
1B74;Foliculitis bacteriana superficial
1B74.0;Foliculitis superficial por Staphylococcus aureus
1B74.Y;Otra foliculitis bacteriana superficial especificada
1B74.Z;"foliculitis bacteriana superficial, sin especificación"
1B75;Foliculitis bacteriana profunda o absceso piógeno de la piel
1B75.0;Forúnculo
1B75.1;Ántrax
1B75.2;Forunculosis
1B75.3;Absceso piógeno de la piel
1B75.4;Foliculitis bacteriana profunda crónica
1B7Y;Otras infecciones bacterianas piógenas especificadas de la piel o de los tejidos subcutáneos
1B90;Fiebres por mordedura de rata
1B90.0;Espirilosis
1B90.1;Estreptobacilosis
1B91;Leptospirosis
1B92;Muermo
1B93;Peste
1B93.0;Peste bubónica
1B93.1;Peste celulocutánea
1B93.2;Peste neumónica
1B93.3;Meningitis pestosa
1B93.Y;Otra peste especificada
1B93.Z;"Peste, sin especificación"
1B94;Tularemia
1B94.0;Tularemia ulceroglandular
1B94.Y;Otra tularemia especificada
1B94.Z;"Tularemia, sin especificación"
1B95;Brucelosis
1B96;Erisipeloide
1B97;Carbunco
1B98;Enfermedad por arañazo de gato
1B99;Pasteurelosis
1B9A;Yersiniosis extraintestinal
1B9Z;"Algunas enfermedades zoonóticas, sin especificación"
1C10;Actinomicosis
1C10.0;Actinomicosis pulmonar
1C10.1;Actinomicosis abdominal
1C10.2;Actinomicosis cervicofacial
1C10.3;Actinomicosis cutánea primaria
1C10.Y;Otras formas especificadas de actinomicosis
1C10.Z;"Actinomicosis, sin especificación"
1C11;Bartonelosis
1C11.0;Enfermedad de Carrión
1C11.00;Fiebre de La Oroya
1C11.01;Verruga peruana
1C11.1;Fiebre de las trincheras
1C11.Y;Otras bartonelosis especificadas
1C12;Tos ferina
1C12.0;Tos ferina por Bordetella pertussis
1C12.1;Tos ferina debida a Bordetella parapertussis
1C12.Y;Otra tos ferina especificada
1C12.Z;"Tos ferina, sin especificación"
1C13;Tétanos
1C14;Tétanos obstétrico
1C15;Tétanos neonatal
1C16;Gangrena gaseosa
1C17;Difteria
1C17.0;Difteria faríngea o tonsilar
1C17.00;Parálisis posdiftérica de la úvula
1C17.0Y;Otra difteria faríngea o tonsilar especificada
1C17.0Z;"Difteria faríngea o tonsilar, sin especificación"
1C17.1;Difteria nasal
1C17.2;Difteria laríngea
1C17.3;Difteria cutánea
1C17.Y;Otra difteria especificada
1C17.Z;"Difteria, sin especificación"
1C18;Fiebre purpúrica brasileña
1C19;Legionelosis
1C19.0;Enfermedad de los legionarios no neumónica
1C19.1;Legionelosis
1C1A;Listeriosis
1C1A.0;Listeriosis cutánea
1C1A.1;Meningitis o meningoencefalitis por listeria
1C1A.Y;Otra listeriosis especificada
1C1A.Z;"Listeriosis, sin especificación"
1C1B;Nocardiosis
1C1B.0;Nocardiosis pulmonar
1C1B.1;Nocardiosis cutánea
1C1B.Y;Otra formas especificadas de nocardiosis
1C1B.Z;"Nocardiosis, sin especificación"
1C1C;meningococosis
1C1C.0;Meningitis meningocócica
1C1C.1;Síndrome de Waterhouse-Friderichsen
1C1C.2;Meningococemia
1C1C.20;Meningococemia aguda
1C1C.2Y;Otra meningococemia especificada
1C1C.2Z;"Meningococemia, sin especificación"
1C1C.Y;Otra enfermedad meningocócica especificada
1C1C.Z;"Enfermedad meningocócica, sin especificación"
1C1D.0;Pian primario
1C1D.1;Pian secundario
1C1D.2;Pian terciario
1C1D.3;Pian latente
1C1E.0;Lesiones primarias de la pinta
1C1E.1;Lesiones intermedias de la pinta
1C1E.2;Lesiones tardías de la pinta
1C1E.3;Lesiones mixtas de la pinta
1C1F;Sífilis endémica no venérea
1C1G;Borreliosis de Lyme
1C1G.0;Borreliosis cutánea temprana de Lyme
1C1G.1;Borreliosis de Lyme diseminada
1C1G.10;Neuroborreliosis de Lyme
1C1G.11;Carditis de Lyme
1C1G.12;Borreliosis de Lyme oftálmica
1C1G.13;Artritis de Lyme
1C1G.14;Borreliosis de Lyme cutánea tardía
1C1G.1Y;Otra borreliosis de Lyme diseminada especificada
1C1G.1Z;"Borreliosis de Lyme diseminada, sin especificación"
1C1G.Y;Otra borreliosis de Lyme especificada
1C1H;Gingivitis ulcerativa necrosante
1C1H.0;Otras infecciones de Vincent
1C1H.Y;Otra gingivitis ulcerativa necrosante especificada
1C1H.Z;"Gingivitis ulcerativa necrosante, sin especificación"
1C1J;Fiebre recurrente
1C1J.0;Fiebre recurrente transmitida por garrapatas
1C1J.1;Fiebre recurrente transmitida por piojos
1C20;Conjuntivitis por Chlamydiae
1C21;Peritonitis por Chlamydia
1C22;Infecciones por Chlamydiophila psittaci
1C23;Tracoma
1C23.0;Etapa inicial del tracoma
1C23.1;Etapa activa del tracoma
1C23.Y;Otro tracoma especificado
1C23.Z;"Tracoma, sin especificación"
1C2Y;Otras enfermedades especificadas por Chlamydia
1C2Z;"Otras enfermedades por Chlamydia, sin especificación"
1C30;Tifus
1C30.0;tifus epidémico trasmitido por piojos
1C30.1;Tifus recrudescente
1C30.2;Tifus por Rickettsia typhi
1C30.3;Tifus por Rickettsia tsutsugamushi
1C30.Y;Otro tifus especificado
1C30.Z;"Tifus, sin especificación"
1C31;Fiebre maculosa
1C31.0;Fiebre maculosa por Rickettsia rickettsii
1C31.1;Fiebre maculosa por Rickettsia conorii
1C31.2;Fiebre maculosa por Rickettsia sibirica
1C31.3;Fiebre maculosa por Rickettsia australis
1C31.Y;Otra fiebre maculosa especificada
1C31.Z;"Fiebre maculosa, sin especificación"
1C32;Rickettsiosis exantemática
1C33;Fiebre Q
1C3Y;Otra rickettsiosis especificada
1C3Z;"Rickettsiosis, sin especificación"
1C40;Campilobacteriosis
1C41;Infección bacteriana de localización no especificada
1C42;Melioidosis
1C43;Actinomicetoma
1C44;Infecciones bacterianas no piógenas de la piel
1C4Y;Otras enfermedades bacterianas especificadas
1C4Z;"Enfermedades bacterianas, sin especificación"
1C60;Enfermedad por el virus de la inmunodeficiencia humana asociada a la tuberculosis
1C60.0;Infección por el VIH en estadio clínico 1 asociada a la tuberculosis
1C60.1;Enfermedad por virus de la inmunodeficiencia humana estadio 2 asociada a tuberculosis
1C60.2;Enfermedad por virus de la inmunodeficiencia humana estadio clínico 3 asociada a la tuberculosis
1C60.3;Enfermedad por virus de la inmunodeficiencia humana estadio clínico 4 asociada a la tuberculosis
1C60.30;"Sarcoma de Kaposi asociado a la infección por el virus de la inmunodeficiencia humana, asociada a la tuberculosis"
1C60.3Y;Otra infección por el VIH especificada en estadio clínico 4 asociada a tuberculosis
1C60.3Z;"Infección por el VIH en estadio clínico 4 asociada a tuberculosis, sin especificación"
1C60.Z;"Infección por el virus de la inmunodeficiencia humana asociada a la tuberculosis, estadio clínico sin especificación"
1C61;Infección por el VIH asociada al paludismo
1C61.0;Enfermedad por virus de la inmunodeficiencia humana estadio clínico 1 asociada a paludismo
1C61.1;Enfermedad por virus de la inmunodeficiencia humana estadio clínico 2 asociada a paludismo
1C61.2;Enfermedad por virus de la inmunodeficiencia humana estadio clínico 3 asociada al paludismo
1C61.3;Enfermedad por virus de la inmunodeficiencia humana estadio clínico 4 asociada al paludismo
1C61.30;Sarcoma de Kaposi asociado a la inmunodeficiencia por VIH y paludismo
1C61.3Y;Otra infección especificada por VIH en estadio clínico 4 asociada al paludismo
1C61.3Z;"Infección por el VIH en estadio clínico 4 asociada al paludismo, sin especificación"
1C61.Z;"Infección por el VIH asociada a paludismo, sin especificación"
1C62;"Enfermedad por virus de la inmunodeficiencia humana, sin mención de tuberculosis o malaria"
1C62.0;Enfermedad por el VIH en estadio clínico 1 sin mención de tuberculosis o malaria
1C62.1;Enfermedad por virus de la inmunodeficiencia humana estadio clínico 2 sin mención de tuberculosis o malaria
1C62.2;Enfermedad por virus de la inmunodeficiencia humana estadio clínico 3 sin mención de tuberculosis o malaria
1C62.3;Enfermedad por virus de la inmunodeficiencia humana estadio clínico 4 sin mención de tuberculosis o malaria
1C62.Z;"Infección por el virus de la inmunodeficiencia humana, sin mención de tuberculosis o malaria, sin especificación"
1C80;Encefalitis viral no clasificada en otra parte
1C81;Poliomielitis aguda
1C82;Rabia
1C83;Encefalitis equina occidental
1C84;Encefalitis equina oriental
1C85;Encefalitis japonesa
1C86;Encefalitis de San Luis
1C87;Encefalitis viral de Rocío
1C88;Encefalitis del valle del Murray
1C89;Encefalitis del Lejano Oriente transmitida por garrapatas
1C8A;Encefalitis centroeuropea transmitida por garrapatas
1C8B;Encefalitis de California
1C8C;Encefalitis equina venezolana
1C8D;Encefalitis de La Crosse
1C8E;Meningitis viral no clasificada en otra parte
1C8E.1;Meningitis enteroviral
1C8E.2;Meningitis por adenovirus
1C8E.Y;Otra meningitis viral especificada no clasificada en otra parte
1C8E.Z;"Meningitis viral no clasificada en otra parte, sin especificación"
1C8F;Coriomeningitis linfocítica
1C8Y;Otras infecciones virales especificadas del sistema nervioso central
1C8Z;"Infecciones virales del sistema nervioso central, sin especificación"
1D00;Encefalitis infecciosa no clasificada en otra parte
1D00.0;Encefalitis bacteriana
1D00.1;Encefalitis micótica
1D00.2;Encefalitis parasitaria o protozoaria
1D00.Y;Otra encefalitis infecciosa especificada no clasificada en otra parte
1D00.Z;"Encefalitis infecciosa no clasificada en otra parte, sin especificación"
1D01;Meningitis infecciosa no clasificada en otra parte
1D01.0;Meningitis bacteriana
1D01.00;Meningitis por Haemophilus influenzae
1D01.0Y;Otra meningitis bacteriana especificada
1D01.0Z;"Meningitis bacteriana, sin especificación"
1D01.1;Meningitis micótica
1D01.10;Meningitis por Cryptococcus neoformans
1D01.1Y;Otra meningitis micótica especificada
1D01.1Z;"Meningitis micótica, sin especificación"
1D01.2;Meningitis parasitaria o por protozoario
1D01.3;Meningitis benigna recurrente
1D01.Y;Otra meningitis infecciosa especificada no clasificada en otra parte
1D01.Z;"Meningitis infecciosa no clasificada en otra parte, sin especificación"
1D02;Mielitis infecciosa no clasificada en otra parte
1D02.0;Mielitis bacteriana
1D02.1;Mielitis viral
1D02.2;Mielitis micótica
1D02.3;Mielitis parasitaria
1D02.Y;Otra mielitis infecciosa especificada no clasificada en otra parte
1D02.Z;"Mielitis infecciosa no clasificada en otra parte, sin especificación"
1D03;Absceso infeccioso del sistema nervioso central
1D03.0;Absceso intramedular intraespinal
1D03.1;Absceso subdural intraespinal
1D03.2;Absceso extradural intraespinal
1D03.3;Absceso intracraneal
1D03.30;Absceso hemisférico cerebral profundo
1D03.31;Absceso del cuerpo calloso
1D03.32;Absceso pituitario
1D03.33;Abscesos intracraneanos múltiples o generalizados
1D03.3Y;Otro absceso intracraneal especificado
1D03.3Z;"Absceso intracraneal, sin especificación"
1D03.4;Absceso epidural intraespinal
1D03.5;Absceso de la médula espinal
1D03.Y;Otro absceso infeccioso especificado del sistema nervioso central
1D03.Z;"Absceso infeccioso del sistema nervioso central, sin especificación"
1D04;Granulomas infecciosos del sistema nervioso central
1D04.0;Granuloma parasitario intracerebral
1D04.1;Granuloma intracraneal
1D04.10;Granuloma micótico intracraneal
1D04.1Y;Otro granuloma intracraneal especificado
1D04.1Z;"Granuloma intracraneal, sin especificación"
1D04.2;Granuloma intraespinal intramedular
1D04.3;Granuloma intraespinal subdural
1D04.4;Granuloma intraespinal extradural
1D04.5;Granuloma epidural intraespinal
1D04.Y;Otros granulomas infecciosos especificados del sistema nervioso central
1D04.Z;"Granulomas infecciosos del sistema nervioso central, sin especificación"
1D05;Quistes infecciosos del sistema nervioso central
1D05.0;Quiste infeccioso epidural
1D05.1;Quiste infeccioso subdural
1D05.Y;Otro quiste infeccioso especificado del sistema nervioso central
1D05.Z;"Quiste infeccioso del sistema nervioso central, sin especificación"
1D0Y;Otras infecciones especificadas no virales y no especificadas del sistema nervioso central
1D0Z;"Infecciones no virales y no especificadas del sistema nervioso central, sin especificación"
1D20;Dengue sin signos de alarma
1D21;Dengue con signos de alarma
1D22;Dengue grave
1D2Z;"Fiebre del dengue, sin especificación"
1D40;Enfermedad por el virus del chikungunya
1D41;Fiebre por garrapatas de Colorado
1D42;Fiebre o’nyong-nyong
1D43;Enfermedad por el virus del Oropuche
1D44;Fiebre del valle del Rift
1D45;Fiebre transmitida por Phlebotomus
1D46;Infección por el virus del Nilo Occidental
1D47;Fiebre amarilla
1D48;Enfermedad por el virus de Zika
1D49;Fiebre hemorrágica de Crimea y el Congo
1D4A;Fiebre hemorrágica de Omsk
1D4B;Enfermedad de la selva de Kyasanur
1D4C;Fiebre hemorrágica de Alkhurma
1D4D;Enfermedad del río Ross
1D4E;síndrome de trombocitopenia febril grave
1D4Y;Otras fiebres virales especificadas transmitidas por artrópodos
1D4Z;"Fiebre viral transmitida por artrópodos, sin especificación"
1D60;Enfermedad por filovirus
1D60.0;Enfermedad del Ébola
1D60.00;Enfermedad por el virus de Bundibugyo
1D60.01;Enfermedad por el virus del Ébola
1D60.02;Enfermedad por el virus de Sudán
1D60.03;Enfermedad del Ébola atípica
1D60.0Y;Otra enfermedad del Ébola especificada
1D60.0Z;"Enfermedad del Ébola, sin especificación"
1D60.1;Enfermedad de Marburgo
1D60.10;Enfermedad por el virus de Marburgo
1D60.11;Enfermedad de Marburgo atípica
1D60.1Y;Otra enfermedad de Marburgo especificada
1D60.1Z;"Enfermedad de Marburgo, sin especificación"
1D60.Y;Otra enfermedad por filovirus especificada
1D60.Z;"Enfermedad por filovirus, sin especificación"
1D61;Enfermedad por arenavirus
1D61.0;Fiebre hemorrágica Argentina
1D61.1;Fiebre hemorrágica Boliviana
1D61.2;Fiebre de Lassa
1D61.3;Fiebre hemorrágica Venezolana
1D61.Y;Otra enfermedad por arenavirus especificada
1D61.Z;"Enfermedad por arenavirus, sin especificación"
1D62;Enfermedad hantavirus
1D62.0;Fiebre hemorrágica con síndrome renal
1D62.1;Síndrome pulmonar por hantavirus
1D62.2;Enfermedad atípica por hantavirus
1D62.Y;Otra enfermedad hantavirus especificada
1D62.Z;"Enfermedad hantavirus, sin especificación"
1D63;Encefalitis por henipavirus
1D64;Síndrome respiratorio de Oriente Medio
1D65;Síndrome respiratorio agudo grave
1D6Y;Otra zoonosis viral especificada
1D6Z;"Zoonosis viral, sin especificación del virus"
1D80;Parotiditis
1D80.0;Parotiditis sin complicación
1D80.1;Orquitis por el virus de la parotiditis
1D80.2;Meningitis por virus de la parotiditis
1D80.3;Encefalitis por el virus de la parotiditis
1D80.4;Pancreatitis por el virus de la parotiditis
1D80.Y;Otra parotiditis especificada
1D81;Mononucleosis infecciosa
1D81.0;Mononucleosis por el virus de Epstein-Barr
1D81.1;Mononucleosis por citomegalovirus
1D81.Y;Otra mononucleosis infecciosa especificada
1D81.Z;"Mononucleosis infecciosa, sin especificación"
1D82;Enfermedad citomegaloviral
1D82.0;hepatitis por citomegalovirus
1D82.1;Pancreatitis por citomegalovirus
1D82.Y;Otra enfermedad citomegaloviral especificada
1D82.Z;"Enfermedad citomegaloviral, sin especificación"
1D83;Mialgia epidémica
1D84;Conjuntivitis viral
1D84.0;Conjuntivitis debido a adenovirus
1D84.1;Conjuntivitis hemorrágica epidémica aguda
1D84.Y;Otra conjuntivitis viral especificada
1D84.Z;"Conjuntivitis viral, sin especificación"
1D85;Carditis viral
1D85.0;Miocardiopatía dilatada secundaria a miocarditis viral
1D85.1;Carditis viral aguda
1D85.2;Carditis viral crónica
1D85.3;Miocarditis aséptica del recién nacido
1D85.4;Carditis por Coxsackie
1D85.Y;Otra carditis viral especificada
1D85.Z;"Carditis viral, sin especificación"
1D86;"Fiebre hemorrágica viral, no clasificada en otra parte"
1D90;Infección por adenovirus de localización no especificada
1D91;Infección por enterovirus de localización no especificada
1D92;Infección por coronavirus de localización no especificada
1D93;Infección por parvovirus de localización no especificada
1D9Y;Otra infección viral especificada de localización no especificado
1D9Z;"Infección viral de localización no especificada, sin especificación"
1E1Y;Otras enfermedades virales especificadas
1E1Z;"Enfermedad viral, sin especificación"
1E30;Influenza debida a virus de la influenza estacional identificado
1E31;Influenza por virus de la influenza pandémica o zoonótica identificada
1E32;Influenza por virus no identificado
1E50;Hepatitis viral aguda
1E50.0;Hepatitis A aguda
1E50.1;Hepatitis B aguda
1E50.2;Hepatitis C aguda
1E50.3;Hepatitis D aguda
1E50.4;Hepatitis E aguda
1E50.Y;Otra hepatitis viral aguda especificada
1E50.Z;"Hepatitis viral aguda, sin especificación"
1E51;Hepatitis viral crónica
1E51.0;Hepatitis B crónica
1E51.00;Hepatitis B crónica con coinfección por el virus de la inmunodeficiencia humana
