Code;Title;DepthInKind
1A7Z;"Infección Gonocócica, Sin Especificación";1
1A80;Linfogranuloma Por Chlamydia;1
1A81;Infección De Transmisión Sexual No Ulcerativa Por Chlamydia;1
1A81.0;Infección Del Aparato Genitourinario Inferior Por Chlamydia;2
1A81.1;Infección De Los órganos Reproductores Internos Por Chlamydia;2
1A81.Y;Otra Infección Clamidial No Ulcerativa De Transmisión Sexual Especificada;2
1A81.Z;"Infección Clamidial No Ulcerativa De Transmisión Sexual, Sin Especificación";2
1A8Y;Otras Infecciones Especificadas De Transmisión Sexual Por Chlamydia;1
1A8Z;"Infecciones De Transmisión Sexual Por Chlamydia, Sin Especificación";1
1A90;Chancroide;1
1A91;Granuloma Inguinal;1
1A92;Trichomoniasis;1
1A93;Infestaciones Transmitidas Sexualmente;1
1A94;Infección Anogenital Por Herpes Simple;1
1A94.0;Infección Genital O Urogenital Por Herpes Simple;2
1A94.1;Infección Perianal Y Rectal Por Herpes Simple;2
1A94.Z;"Infección Anogenital Por Herpes Simple, Sin Especificación";2
1A95;Verrugas Anogenitales;1
1A95.0;Verrugas Anales;2
1A95.1;Verrugas Genitales;2
1A95.2;Condilomas Acuminados Extragenitales;2
1A9Y;Otras Infecciones Especificadas De Transmisión Predominantemente Sexual;1
1A9Z;"Infecciones De Transmisión Predominantemente Sexual, Sin Especificación";1
1B10;Tuberculosis Del Aparato Respiratorio;1
1B10.0;"Tuberculosis Respiratoria, Confirmada";2
1B10.1;"Tuberculosis Respiratoria, No Confirmada";2
1B10.Z;"Tuberculosis Respiratoria, Sin Mención De Confirmación Bacteriológica O Histológica";2
1B11;Tuberculosis Del Sistema Nervioso;1
1B11.0;Meningitis Tuberculosa;2
1B11.1;Meningoencefalitis Tuberculosa;2
1B11.2;Tuberculoma Meníngeo;2
1B11.3;Granuloma Tuberculoso Del Cerebro;2
1B11.4;Granuloma Tuberculoso De Las Meninges;2
1B11.Y;Otra Tuberculosis Especificada Del Sistema Nervioso;2
1B11.Z;"Tuberculosis Del Sistema Nervioso, Sin Especificación";2
1B12;Tuberculosis De Otros Sistemas Y órganos;1
1B12.0;Tuberculosis Cardíaca;2
1B12.1;Tuberculosis Del Ojo;2
1B12.2;Tuberculosis Del Oído;2
1B12.3;Tuberculosis De Las Glándulas Endocrinas;2
1B12.4;Tuberculosis Del Sistema Musculoesquelético;2
1B12.40;Tuberculosis De Los Huesos O Las Articulaciones;3
1B12.41;Miositis Tuberculosa;3
1B12.4Y;Otra Tuberculosis Especificada Del Sistema Musculoesquelético;3
1B12.4Z;"Tuberculosis Del Sistema Musculoesquelético, Sin Especificación";3
1B12.5;Tuberculosis Del Aparato Genitourinario;2
1B12.6;Linfadenopatía Periférica Tuberculosa;2
1B12.7;Tuberculosis Del Aparato Digestivo;2
1B12.8;Tuberculosis Cutánea;2
1B12.Y;Otra Tuberculosis De Otros Sistemas U órganos Especificados;2
1B13;Tuberculosis Miliar;1
1B13.0;Tuberculosis Miliar Aguda De Un Sitio Especificado único;2
1B13.1;Tuberculosis Miliar Aguda De Sitios Múltiples;2
1B13.Y;Otra Tuberculosis Miliar Especificada;2
1B13.Z;"Tuberculosis Miliar, Sin Especificación";2
1B14;Tuberculosis Latente;1
1B1Y;Otra Tuberculosis Especificada;1
1B1Z;"Tuberculosis, Sin Especificación";1
1B20;Lepra;1
1B20.0;Lepra Paucibacilar;2
1B20.1;Lepra Multibacilar;2
1B20.2;Reacciones De La Lepra;2
1B20.20;Reacción De La Lepra De Tipo I;3
1B20.21;Reacción De Lepra De Tipo Ii;3
1B20.3;Complicaciones De La Lepra;2
1B20.Z;"Lepra, Sin Especificación";2
1B21;Infecciones Por Micobacterias No Tuberculosas;1
1B21.0;Infección Pulmonar Debida A Micobacteria No Tuberculosa;2
1B21.1;Linfadenitis Micobacteriana No Tuberculosa;2
1B21.2;Infección Cutánea Micobacteriana No Tuberculosa;2
1B21.20;Infección Por Mycobacterium Ulcerans;3
1B21.2Y;Otra Infección Cutánea Micobacteriana No Tuberculosa Especificada;3
1B21.2Z;"Infección Cutánea Micobacteriana No Tuberculosa, Sin Especificación";3
1B21.3;Infección Micobacterial No Tuberculosa Diseminada;2
1B21.4;Infección Gastrointestinal Micobacteriana No Tuberculosa;2
1B21.Y;Otras Infecciones Especificadas Por Micobacterias No Tuberculosas;2
1B21.Z;"Infecciones Por Micobacterias No Tuberculosas, Sin Especificación";2
1B2Y;Otras Enfermedades Micobacterianas Especificadas;1
1B2Z;"Enfermedades Micobacterianas, Sin Especificación";1
1B40;Fiebre Reumática Aguda Sin Mención De Complicación Cardíaca;1
1B40.0;"Artritis Reumática, Aguda O Subaguda";2
1B40.Y;Otra Fiebre Reumática Especificada Sin Mención De Complicación Cardíaca;2
1B40.Z;"Fiebre Reumática Sin Mención De Complicación Cardíaca, Sin Especificación";2
1B41;Fiebre Reumática Aguda Con Afectación Cardíaca;1
1B41.0;Pericarditis Reumática Aguda;2
1B41.1;Endocarditis Reumática Aguda;2
1B41.10;Aortitis Reumática;3
1B41.1Y;Otra Endocarditis Reumática Aguda Especificada;3
1B41.1Z;"Endocarditis Reumática Aguda, Sin Especificación";3
1B41.2;Miocarditis Reumática Aguda;2
1B41.Y;Otra Fiebre Reumática Aguda Con Afectación Cardíaca Especificada;2
1B41.Z;"Fiebre Reumática Aguda Con Afectación Cardíaca, Sin Especificación";2
1B42;Corea Reumática;1
1B50;Escarlatina;1
1B51;Faringitis Estreptocócica;1
1B52;Síndrome De Choque Tóxico;1
1B52.0;Síndrome De Choque Tóxico Estreptocócico;2
1B52.1;Síndrome De Choque Tóxico Estafilocócico;2
1B53;Meningitis Por Streptococcus;1
1B54;Meningitis Por Staphylococcus;1
1B5Y;Algunas Otras Enfermedades Estafilocócicas O Estreptocócicas Especificadas;1
1B5Z;"Algunas Enfermedades Estafilocócicas O Estreptocócicas, Sin Especificación";1
1B70;"Celulitis Bacteriana, Erisipela O Linfangitis";1
1B70.0;Erisipela;2
1B70.00;Erisipela De La Cara;3
1B70.01;Erisipela Del Oído Externo;3
1B70.02;Erisipela Del Miembro Inferior;3
1B70.0Y;Otra Erisipela Especificada;3
1B70.1;Celulitis Estreptocócica De La Piel;2
1B70.2;Celulitis Estafilocócica De La Piel;2
1B70.3;Linfangitis Bacteriana Ascendente;2
1B70.Y;"Otra Celulitis Bacteriana, Erisipela O Linfangitis Especificada";2
1B70.Z;"Celulitis Bacteriana, Erisipela O Linfangitis, Sin Especificación";2
1B71;Fascitis Necrotizante;1
1B71.0;Fascitis Necrosante Estreptocócica;2
1B71.1;Fascitis Necrosante Polimicrobiana;2
1B71.2;Fascitis Necrosante Neonatal;2
1B71.Y;Otra Fascitis Necrotizante Especificada;2
1B71.Z;"Fascitis Necrotizante, Sin Especificación";2
1B72;Impétigo;1
1B72.0;Impétigo Vesicular;2
1B72.1;Impétigo No Ampolloso;2
1B72.2;Impetiginación Secundaria De La Piel;2
1B72.Y;Otro Impétigo Especificado;2
1B72.Z;"Impétigo, Sin Especificación";2
1B73;Ectima;1
1B73.0;Ectima Estreptocócico;2
1B73.1;Ectima Estafilocócico;2
1B73.2;Ectima Gangrenoso;2
1B73.Y;Otro Ectima Especificado;2
1B73.Z;"Ectima, Sin Especificación";2
1B74;Foliculitis Bacteriana Superficial;1
1B74.0;Foliculitis Superficial Por Staphylococcus Aureus;2
1B74.Y;Otra Foliculitis Bacteriana Superficial Especificada;2
1B74.Z;"Foliculitis Bacteriana Superficial, Sin Especificación";2
1B75;Foliculitis Bacteriana Profunda O Absceso Piógeno De La Piel;1
1B75.0;Forúnculo;2
1B75.1;Ántrax;2
1B75.2;Forunculosis;2
1B75.3;Absceso Piógeno De La Piel;2
1B75.4;Foliculitis Bacteriana Profunda Crónica;2
1B7Y;Otras Infecciones Bacterianas Piógenas Especificadas De La Piel O De Los Tejidos Subcutáneos;1
1B90;Fiebres Por Mordedura De Rata;1
1B90.0;Espirilosis;2
1B90.1;Estreptobacilosis;2
1B91;Leptospirosis;1
1B92;Muermo;1
1B93;Peste;1
1B93.0;Peste Bubónica;2
1B93.1;Peste Celulocutánea;2
1B93.2;Peste Neumónica;2
1B93.3;Meningitis Pestosa;2
1B93.Y;Otra Peste Especificada;2
1B93.Z;"Peste, Sin Especificación";2
1B94;Tularemia;1
1B94.0;Tularemia Ulceroglandular;2
1B94.Y;Otra Tularemia Especificada;2
1B94.Z;"Tularemia, Sin Especificación";2
1B95;Brucelosis;1
1B96;Erisipeloide;1
1B97;Carbunco;1
1B98;Enfermedad Por Arañazo De Gato;1
1B99;Pasteurelosis;1
1B9A;Yersiniosis Extraintestinal;1
1B9Z;"Algunas Enfermedades Zoonóticas, Sin Especificación";1
1C10;Actinomicosis;1
1C10.0;Actinomicosis Pulmonar;2
1C10.1;Actinomicosis Abdominal;2
1C10.2;Actinomicosis Cervicofacial;2
1C10.3;Actinomicosis Cutánea Primaria;2
1C10.Y;Otras Formas Especificadas De Actinomicosis;2
1C10.Z;"Actinomicosis, Sin Especificación";2
1C11;Bartonelosis;1
1C11.0;Enfermedad De Carrión;2
1C11.00;Fiebre De La Oroya;3
1C11.01;Verruga Peruana;3
1C11.1;Fiebre De Las Trincheras;2
1C11.Y;Otras Bartonelosis Especificadas;2
1C12;Tos Ferina;1
1C12.0;Tos Ferina Por Bordetella Pertussis;2
1C12.1;Tos Ferina Debida A Bordetella Parapertussis;2
1C12.Y;Otra Tos Ferina Especificada;2
1C12.Z;"Tos Ferina, Sin Especificación";2
1C13;Tétanos;1
1C14;Tétanos Obstétrico;1
1C15;Tétanos Neonatal;1
1C16;Gangrena Gaseosa;1
1C17;Difteria;1
1C17.0;Difteria Faríngea O Tonsilar;2
1C17.00;Parálisis Posdiftérica De La úvula;3
1C17.0Y;Otra Difteria Faríngea O Tonsilar Especificada;3
1C17.0Z;"Difteria Faríngea O Tonsilar, Sin Especificación";3
1C17.1;Difteria Nasal;2
1C17.2;Difteria Laríngea;2
1C17.3;Difteria Cutánea;2
1C17.Y;Otra Difteria Especificada;2
1C17.Z;"Difteria, Sin Especificación";2
1C18;Fiebre Purpúrica Brasileña;1
1C19;Legionelosis;1
1C19.0;Enfermedad De Los Legionarios No Neumónica;2
1C19.1;Legionelosis;2
1C1A;Listeriosis;1
1C1A.0;Listeriosis Cutánea;2
1C1A.1;Meningitis O Meningoencefalitis Por Listeria;2
1C1A.Y;Otra Listeriosis Especificada;2
1C1A.Z;"Listeriosis, Sin Especificación";2
1C1B;Nocardiosis;1
1C1B.0;Nocardiosis Pulmonar;2
1C1B.1;Nocardiosis Cutánea;2
1C1B.Y;Otra Formas Especificadas De Nocardiosis;2
1C1B.Z;"Nocardiosis, Sin Especificación";2
1C1C;Meningococosis;1
1C1C.0;Meningitis Meningocócica;2
1C1C.1;Síndrome De Waterhouse-Friderichsen;2
1C1C.2;Meningococemia;2
1C1C.20;Meningococemia Aguda;3
1C1C.2Y;Otra Meningococemia Especificada;3
1C1C.2Z;"Meningococemia, Sin Especificación";3
1C1C.Y;Otra Enfermedad Meningocócica Especificada;2
1C1C.Z;"Enfermedad Meningocócica, Sin Especificación";2
1C1D;Pian;1
1C1D.0;Pian Primario;2
1C1D.1;Pian Secundario;2
1C1D.2;Pian Terciario;2
1C1D.3;Pian Latente;2
1C1E;Pinta;1
1C1E.0;Lesiones Primarias De La Pinta;2
1C1E.1;Lesiones Intermedias De La Pinta;2
1C1E.2;Lesiones Tardías De La Pinta;2
1C1E.3;Lesiones Mixtas De La Pinta;2
1C1F;Sífilis Endémica No Venérea;1
1C1G;Borreliosis De Lyme;1
1C1G.0;Borreliosis Cutánea Temprana De Lyme;2
1C1G.1;Borreliosis De Lyme Diseminada;2
1C1G.10;Neuroborreliosis De Lyme;3
1C1G.11;Carditis De Lyme;3
1C1G.12;Borreliosis De Lyme Oftálmica;3
1C1G.13;Artritis De Lyme;3
1C1G.14;Borreliosis De Lyme Cutánea Tardía;3
1C1G.1Y;Otra Borreliosis De Lyme Diseminada Especificada;3
1C1G.1Z;"Borreliosis De Lyme Diseminada, Sin Especificación";3
1C1G.Y;Otra Borreliosis De Lyme Especificada;2
1C1H;Gingivitis Ulcerativa Necrosante;1
1C1H.0;Otras Infecciones De Vincent;2
1C1H.Y;Otra Gingivitis Ulcerativa Necrosante Especificada;2
1C1H.Z;"Gingivitis Ulcerativa Necrosante, Sin Especificación";2
1C1J;Fiebre Recurrente;1
1C1J.0;Fiebre Recurrente Transmitida Por Garrapatas;2
1C1J.1;Fiebre Recurrente Transmitida Por Piojos;2
1C20;Conjuntivitis Por Chlamydiae;1
1C21;Peritonitis Por Chlamydia;1
1C22;Infecciones Por Chlamydiophila Psittaci;1
1C23;Tracoma;1
1C23.0;Etapa Inicial Del Tracoma;2
1C23.1;Etapa Activa Del Tracoma;2
1C23.Y;Otro Tracoma Especificado;2
1C23.Z;"Tracoma, Sin Especificación";2
1C2Y;Otras Enfermedades Especificadas Por Chlamydia;1
1C2Z;"Otras Enfermedades Por Chlamydia, Sin Especificación";1
1C30;Tifus;1
1C30.0;Tifus Epidémico Trasmitido Por Piojos;2
1C30.1;Tifus Recrudescente;2
1C30.2;Tifus Por Rickettsia Typhi;2
1C30.3;Tifus Por Rickettsia Tsutsugamushi;2
1C30.Y;Otro Tifus Especificado;2
1C30.Z;"Tifus, Sin Especificación";2
1C31;Fiebre Maculosa;1
1C31.0;Fiebre Maculosa Por Rickettsia Rickettsii;2
1C31.1;Fiebre Maculosa Por Rickettsia Conorii;2
1C31.2;Fiebre Maculosa Por Rickettsia Sibirica;2
1C31.3;Fiebre Maculosa Por Rickettsia Australis;2
1C31.Y;Otra Fiebre Maculosa Especificada;2
1C31.Z;"Fiebre Maculosa, Sin Especificación";2
1C32;Rickettsiosis Exantemática;1
1C33;Fiebre Q;1
1C3Y;Otra Rickettsiosis Especificada;1
1C3Z;"Rickettsiosis, Sin Especificación";1
1C40;Campilobacteriosis;1
1C41;Infección Bacteriana De Localización No Especificada;1
1C42;Melioidosis;1
1C43;Actinomicetoma;1
1C44;Infecciones Bacterianas No Piógenas De La Piel;1
1C4Y;Otras Enfermedades Bacterianas Especificadas;1
1C4Z;"Enfermedades Bacterianas, Sin Especificación";1
1C60;Enfermedad Por El Virus De La Inmunodeficiencia Humana Asociada A La Tuberculosis;1
1C60.0;Infección Por El Vih En Estadio Clínico 1 Asociada A La Tuberculosis;2
1C60.1;Enfermedad Por Virus De La Inmunodeficiencia Humana Estadio 2 Asociada A Tuberculosis;2
1C60.2;Enfermedad Por Virus De La Inmunodeficiencia Humana Estadio Clínico 3 Asociada A La Tuberculosis;2
1C60.3;Enfermedad Por Virus De La Inmunodeficiencia Humana Estadio Clínico 4 Asociada A La Tuberculosis;2
1C60.30;"Sarcoma De Kaposi Asociado A La Infección Por El Virus De La Inmunodeficiencia Humana, Asociada A La Tuberculosis";3
1C60.3Y;Otra Infección Por El Vih Especificada En Estadio Clínico 4 Asociada A Tuberculosis;3
1C60.3Z;"Infección Por El Vih En Estadio Clínico 4 Asociada A Tuberculosis, Sin Especificación";3
1C60.Z;"Infección Por El Virus De La Inmunodeficiencia Humana Asociada A La Tuberculosis, Estadio Clínico Sin Especificación";2
1C61;Infección Por El Vih Asociada Al Paludismo;1
1C61.0;Enfermedad Por Virus De La Inmunodeficiencia Humana Estadio Clínico 1 Asociada A Paludismo;2
1C61.1;Enfermedad Por Virus De La Inmunodeficiencia Humana Estadio Clínico 2 Asociada A Paludismo;2
1C61.2;Enfermedad Por Virus De La Inmunodeficiencia Humana Estadio Clínico 3 Asociada Al Paludismo;2
1C61.3;Enfermedad Por Virus De La Inmunodeficiencia Humana Estadio Clínico 4 Asociada Al Paludismo;2
1C61.30;Sarcoma De Kaposi Asociado A La Inmunodeficiencia Por Vih Y Paludismo;3
1C61.3Y;Otra Infección Especificada Por Vih En Estadio Clínico 4 Asociada Al Paludismo;3
1C61.3Z;"Infección Por El Vih En Estadio Clínico 4 Asociada Al Paludismo, Sin Especificación";3
1C61.Z;"Infección Por El Vih Asociada A Paludismo, Sin Especificación";2
1C62;"Enfermedad Por Virus De La Inmunodeficiencia Humana, Sin Mención De Tuberculosis O Malaria";1
1C62.0;Enfermedad Por El Vih En Estadio Clínico 1 Sin Mención De Tuberculosis O Malaria;2
1C62.1;Enfermedad Por Virus De La Inmunodeficiencia Humana Estadio Clínico 2 Sin Mención De Tuberculosis O Malaria;2
1C62.2;Enfermedad Por Virus De La Inmunodeficiencia Humana Estadio Clínico 3 Sin Mención De Tuberculosis O Malaria;2
1C62.3;Enfermedad Por Virus De La Inmunodeficiencia Humana Estadio Clínico 4 Sin Mención De Tuberculosis O Malaria;2
1C62.Z;"Infección Por El Virus De La Inmunodeficiencia Humana, Sin Mención De Tuberculosis O Malaria, Sin Especificación";2
1C80;Encefalitis Viral No Clasificada En Otra Parte;1
1C81;Poliomielitis Aguda;1
1C82;Rabia;1
1C83;Encefalitis Equina Occidental;1
1C84;Encefalitis Equina Oriental;1
1C85;Encefalitis Japonesa;1
1C86;Encefalitis De San Luis;1
1C87;Encefalitis Viral De Rocío;1
1C88;Encefalitis Del Valle Del Murray;1
1C89;Encefalitis Del Lejano Oriente Transmitida Por Garrapatas;1
1C8A;Encefalitis Centroeuropea Transmitida Por Garrapatas;1
1C8B;Encefalitis De California;1
1C8C;Encefalitis Equina Venezolana;1
1C8D;Encefalitis De La Crosse;1
1C8E;Meningitis Viral No Clasificada En Otra Parte;1
1C8E.1;Meningitis Enteroviral;2
1C8E.2;Meningitis Por Adenovirus;2
1C8E.Y;Otra Meningitis Viral Especificada No Clasificada En Otra Parte;2
1C8E.Z;"Meningitis Viral No Clasificada En Otra Parte, Sin Especificación";2
1C8F;Coriomeningitis Linfocítica;1
1C8Y;Otras Infecciones Virales Especificadas Del Sistema Nervioso Central;1
1C8Z;"Infecciones Virales Del Sistema Nervioso Central, Sin Especificación";1
1D00;Encefalitis Infecciosa No Clasificada En Otra Parte;1
1D00.0;Encefalitis Bacteriana;2
1D00.1;Encefalitis Micótica;2
1D00.2;Encefalitis Parasitaria O Protozoaria;2
1D00.Y;Otra Encefalitis Infecciosa Especificada No Clasificada En Otra Parte;2
1D00.Z;"Encefalitis Infecciosa No Clasificada En Otra Parte, Sin Especificación";2
1D01;Meningitis Infecciosa No Clasificada En Otra Parte;1
1D01.0;Meningitis Bacteriana;2
1D01.00;Meningitis Por Haemophilus Influenzae;3
1D01.0Y;Otra Meningitis Bacteriana Especificada;3
1D01.0Z;"Meningitis Bacteriana, Sin Especificación";3
1D01.1;Meningitis Micótica;2
1D01.10;Meningitis Por Cryptococcus Neoformans;3
1D01.1Y;Otra Meningitis Micótica Especificada;3
1D01.1Z;"Meningitis Micótica, Sin Especificación";3
1D01.2;Meningitis Parasitaria O Por Protozoario;2
1D01.3;Meningitis Benigna Recurrente;2
1D01.Y;Otra Meningitis Infecciosa Especificada No Clasificada En Otra Parte;2
1D01.Z;"Meningitis Infecciosa No Clasificada En Otra Parte, Sin Especificación";2
1D02;Mielitis Infecciosa No Clasificada En Otra Parte;1
1D02.0;Mielitis Bacteriana;2
1D02.1;Mielitis Viral;2
1D02.2;Mielitis Micótica;2
1D02.3;Mielitis Parasitaria;2
1D02.Y;Otra Mielitis Infecciosa Especificada No Clasificada En Otra Parte;2
1D02.Z;"Mielitis Infecciosa No Clasificada En Otra Parte, Sin Especificación";2
1D03;Absceso Infeccioso Del Sistema Nervioso Central;1
1D03.0;Absceso Intramedular Intraespinal;2
1D03.1;Absceso Subdural Intraespinal;2
1D03.2;Absceso Extradural Intraespinal;2
1D03.3;Absceso Intracraneal;2
1D03.30;Absceso Hemisférico Cerebral Profundo;3
1D03.31;Absceso Del Cuerpo Calloso;3
1D03.32;Absceso Pituitario;3
1D03.33;Abscesos Intracraneanos Múltiples O Generalizados;3
1D03.3Y;Otro Absceso Intracraneal Especificado;3
1D03.3Z;"Absceso Intracraneal, Sin Especificación";3
1D03.4;Absceso Epidural Intraespinal;2
1D03.5;Absceso De La Médula Espinal;2
1D03.Y;Otro Absceso Infeccioso Especificado Del Sistema Nervioso Central;2
1D03.Z;"Absceso Infeccioso Del Sistema Nervioso Central, Sin Especificación";2
1D04;Granulomas Infecciosos Del Sistema Nervioso Central;1
1D04.0;Granuloma Parasitario Intracerebral;2
1D04.1;Granuloma Intracraneal;2
1D04.10;Granuloma Micótico Intracraneal;3
1D04.1Y;Otro Granuloma Intracraneal Especificado;3
1D04.1Z;"Granuloma Intracraneal, Sin Especificación";3
1D04.2;Granuloma Intraespinal Intramedular;2
1D04.3;Granuloma Intraespinal Subdural;2
1D04.4;Granuloma Intraespinal Extradural;2
1D04.5;Granuloma Epidural Intraespinal;2
1D04.Y;Otros Granulomas Infecciosos Especificados Del Sistema Nervioso Central;2
1D04.Z;"Granulomas Infecciosos Del Sistema Nervioso Central, Sin Especificación";2
1D05;Quistes Infecciosos Del Sistema Nervioso Central;1
1D05.0;Quiste Infeccioso Epidural;2
1D05.1;Quiste Infeccioso Subdural;2
1D05.Y;Otro Quiste Infeccioso Especificado Del Sistema Nervioso Central;2
1D05.Z;"Quiste Infeccioso Del Sistema Nervioso Central, Sin Especificación";2
1D0Y;Otras Infecciones Especificadas No Virales Y No Especificadas Del Sistema Nervioso Central;1
